YYYYMMDD;    Q
20210509;1753
20210510;1649
20210511;1258
20210512;1741
20210513;1668
20210514;1729
20210515;1095
20210516;1163
20210517;1116
20210518;2545
20210519;1565
20210520;1688
20210521;1837
20210522;735
20210523;1657
20210524;913
20210525;1128
20210526;1475
20210527;1014
20210528;2705
20210529;2539
20210530;2716
20210531;2768
20210601;2903
20210602;2895
20210603;2589
20210604;2161
20210605;889
20210606;3042
20210607;2811
20210608;2654
20210609;2865
20210610;2773
20210611;1625
20210612;2299
20210613;2791
20210614;2933
20210615;2506
20210616;2755
20210617;2088
20210618;1854
20210619;776
20210620;1957
20210621;612
20210622;1561
20210623;1324
20210624;2285
20210625;714
20210626;1255
20210627;1923
20210628;1233
20210629;1121
20210630;604
20210701;651
20210702;1655
20210703;1387
20210704;1279
20210705;1576
20210706;1378
20210707;1665
20210708;2357
20210709;2116
20210710;1232
20210711;1390
20210712;1148
20210713;772
20210714;540
20210715;1152
20210716;2268
20210717;2758
20210718;2682
20210719;2070
20210720;2527
20210721;2456
20210722;2457
20210723;1782
20210724;667
20210725;2032
20210726;921
20210727;1029
20210728;1300
20210729;2495
20210730;1268
20210731;1718
20210801;1659
20210802;1918
20210803;1790
20210804;1617
20210805;1868
20210806;1537
20210807;1434
20210808;1278
20210809;1410
20210810;2093
20210811;1981
20210812;1948
20210813;1712
20210814;1990
20210815;2128
20210816;1047
20210817;501
20210818;743
20210819;522
20210820;1512
20210821;1453
20210822;721
20210823;1762
20210824;1911
20210825;1824
20210826;1104
20210827;1670
20210828;1180
20210829;427
20210830;1153
20210831;1349
20210901;811
20210902;1467
20210903;1943
20210904;1629
20210905;1968
20210906;1656
20210907;1629
20210908;1826
20210909;1619
20210910;740
20210911;706
20210912;1351
20210913;944
20210914;1124
20210915;545
20210916;1566
20210917;1383
20210918;1312
20210919;1424
20210920;1268
20210921;1404
20210922;1488
20210923;898
20210924;1317
20210925;842
20210926;1041
20210927;552
20210928;1221
20210929;694
20210930;599
20211001;405
20211002;522
20211003;310
20211004;1018
20211005;583
20211006;478
20211007;697
20211008;991
20211009;1153
20211010;743
20211011;680
20211012;624
20211013;764
20211014;395
20211015;773
20211016;588
20211017;439
20211018;580
20211019;354
20211020;310
20211021;445
20211022;537
20211023;233
20211024;910
20211025;208
20211026;507
20211027;395
20211028;839
20211029;623
20211030;144
20211031;214
20211101;713
20211102;251
20211103;511
20211104;483
20211105;554
20211106;256
20211107;453
20211108;387
20211109;277
20211110;200
20211111;198
20211112;403
20211113;325
20211114;190
20211115;65
20211116;96
20211117;343
20211118;416
20211119;341
20211120;64
20211121;350
20211122;508
20211123;254
20211124;146
20211125;252
20211126;104
20211127;104
20211128;129
20211129;164
20211130;59
20211201;123
20211202;290
20211203;107
20211204;80
20211205;259
20211206;171
20211207;310
20211208;302
20211209;135
20211210;79
20211211;247
20211212;83
20211213;108
20211214;97
20211215;86
20211216;357
20211217;83
20211218;123
20211219;91
20211220;138
20211221;417
20211222;298
20211223;179
20211224;101
20211225;343
20211226;178
20211227;112
20211228;121
20211229;86
20211230;95
20211231;168
20220101;203
20220102;162
20220103;127
20220104;106
20220105;139
20220106;269
20220107;185
20220108;121
20220109;227
20220110;218
20220111;386
20220112;180
20220113;148
